Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Ireland Limited
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"July 15, 2025 - January 9, 2026"
Statement,Data,WhenGenerated,"2026-01-11, 12:07:15 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Stichting Legal Owner Keheilan Fund
Account Information,Data,Account,DUK415187
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Partnership
Account Information,Data,Account Capabilities,Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Mark-to-Market Performance Summary,Data,Stocks,MRVL,0,134,--,83.2200,-2102.46,-262.64,-1,0,-2366.1,
Mark-to-Market Performance Summary,Data,Stocks,MSFT,124,142,503.0200,479.2800,-3013.6,30.06,-1,215.76,-2768.78,
Mark-to-Market Performance Summary,Data,Stocks,MU,43,96,118.6100,345.0900,15455.75,370.47,-1,15.99,15841.21,
Mark-to-Market Performance Summary,Data,Stocks,NBIX,0,42,--,135.7900,-828.24,32.34,-1,0,-796.9,
Mark-to-Market Performance Summary,Data,Stocks,NEE,0,95,--,79.8900,-307.8,-58.9,-1,0,-367.7,
Mark-to-Market Performance Summary,Data,Stocks,NKE,70,70,72.2500,65.9200,-443.1,0,0,56.7,-386.4,
Mark-to-Market Performance Summary,Data,Stocks,NOW,6,30,961.7800,141.8000,-1516.68,0,0,0,-1516.68,
Mark-to-Market Performance Summary,Data,Stocks,NSC,0,22,--,287.2100,-153.56,-39.82,-1,0,-194.38,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,375,300,164.0700,184.8600,7612.5,117.75,-1.01245,7.5,7736.73755,
Mark-to-Market Performance Summary,Data,Stocks,NVO,154,206,68.9400,58.8100,-990.62,-61.88,-1,89.99,-963.51,
Mark-to-Market Performance Summary,Data,Stocks,NVS,86,74,121.0400,141.5400,1650.44,20.76,-1.001992,0,1670.198008,
Mark-to-Market Performance Summary,Data,Stocks,NXPI,0,14,--,241.1500,184.8,-14.7,-1,14.2,183.3,
